ID,Name,Description,Eligibility,Deadline,Link,Link2,Type,,Subject,Degree,LstCountry,Country
2779,International Fellowship  World Forestry Center,"WFC’s Discovery Museum was opened in 1971 to educate the general public about local and global forests and sustainable forestry. Magness Memorial Tree Farm, our premier demonstration forest located near Sherwood, Oregon, offers a hands-on outdoor approach to environmental learning.",,10/15/2019,https://www.noticebard.com/wp-content/uploads/2019/08/wfi.png,https://www.noticebard.com/call-for-applications-international-fellowship-world-forestry-center/,Conferences,,Humanities and Social Sciences,Bachelors,All,USA
2780,City of Dreams Pavilion 2020: Call for Proposals,"The current state of the world is such that both economic and natural resources are limited and unequally distributed. A new way of thinking is necessary to solve the problems that the world faces. Inevitably, the result will be a change in the basic practices that have driven the world to its current state. One place to start to activate and energize these changes is within the architecture and design community, where the movement toward climate action has encouraged the use of energy standards that lead to a future carbon neutral built environment.",,9/15/2019,http://competitions.archi/wp-content/uploads/2019/08/city-of-dreams.jpg,http://competitions.archi/competition/city-of-dreams-pavilion-2020-call-for-proposals/,Conferences,,Engineering and Technology,Masters,All,USA
2781,Urban Confluence Silicon Valley Competition,"The Competition is managed by the San José Light Tower Corporation, a not-for-profit organization led by residents of San José and other Silicon Valley cities who are passionate about downtown San José and the role that design can play in building community. Through exceptional fundraising efforts and relationship building, this group has developed a strong working partnership with local government and philanthropy.",,10/15/2019,http://competitions.archi/wp-content/uploads/2019/08/silicon-valley-320x175.jpg,http://competitions.archi/competition/urban-confluence-silicon-valley-competition/,Competitions,,Engineering and Technology,All,All,USA
2782,REDEFINING LEARNING SPACES,"The University of Louisiana at Lafayette is excited to announce a call for submissions to a design competition for a new laboratory school on the University of Louisiana campus in Lafayette, Louisiana. The University of Louisiana at Lafayette’s Learning Lab is looking for design concepts that support the core mission: leading education for all of Louisiana. The Learning Lab is a space which advocates for curiosity, creativity, connectivity, and collaboration among students, teachers, administrators, and the community.",,9/15/2019,http://competitions.archi/wp-content/uploads/2019/08/learning-spaces-320x175.jpg,http://competitions.archi/competition/redefining-learning-spaces/,Competitions,,Engineering and Technology,All,All,USA
2784,OPEN COMPETITION TO DEVELOP CONCEPTUAL DESIGNS FOR GARAGE MUSEUM OF CONTEMPORARY ART’S SUMMER CINEMA,"Garage Museum of Contemporary Art announces the second competition for the development of conceptual designs for 2020’s Garage Screen, a summer cinema located on Garage Square in front of the Museum. The competition’s goal is to provide architectural bureaus with an opportunity to submit their vision of a temporary pavilion to be installed in Gorky Park from spring to fall 2020. Applications will be accepted from 22 July through 16 August 2019.",,8/16/2019,http://competitions.archi/wp-content/uploads/2019/08/strelka-competition-320x175.jpg,http://competitions.archi/competition/open-competition-to-develop-conceptual-designs-for-garage-museum-of-contemporary-arts-summer-cinema/,Competitions,,All,All,All,Russia
2785,International Urban Design Ideas Competition Berlin-Brandenburg 2070,"In Juli 2019, will Berlin 2020 gGmbh launch the anonymous two-phase International Urban Design Ideas Competition for Berlin-Brandenburg 2070. The main goal of the „International Urban Planning Ideas Competition Berlin-Brandenburg 2070“ is not to discuss a completely different, new metropolitan region next to or on the surface of the existing, but the further development of the existing metropolitan region.",,9/27/2019,http://competitions.archi/wp-content/uploads/2019/08/strelka-competition-320x175.jpg,http://competitions.archi/competition/international-urban-design-ideas-competition-berlin-brandenburg-2070/,Competitions,,Engineering and Technology,All,All,Germany
2786,RESTART CONTEST,"It encourages reflection on restructuring the museum and/or a contemporary graft in a former royal benedictine abbaye – whose foundation dates back to the seventh century and the bulk of the building to the reign of Louis XIV – transformed into a museum in the early nineteenth century. Partially classified as a historic monument, the building underwent a major renovation and extension project carried between 1990 and 1998 by Jean-Philippe Dubois and Jean-Michel Wilmotte, who raised it among the leading European museums.",,11/1/2019,http://competitions.archi/wp-content/uploads/2019/07/lyon-320x175.jpg,http://competitions.archi/competition/restart-contest/,Competitions,,Engineering and Technology,All,All,France
2787,International Ideas Competition: LIVING IN THE CITY. Contemporary Urban Housing in Uruguay,"The Ministry of Housing Land Planning and Environment through the Directorate of Housing (DINAVI) and the Faculty of Architecture, Design, and Urbanism (FADU) through the Housing Committee come together to organize a competition of proposals open to students, teachers, and professionals in general. The entries should develop project-ideas conceived as alternatives and innovations to the current ways of management, design, and construction of urban housing in Uruguay.",,8/14/2019,http://competitions.archi/wp-content/uploads/2019/07/living_the_city-320x175.jpg,http://competitions.archi/competition/international-ideas-competition-living-in-the-city-contemporary-urban-housing-in-uruguay/,Competitions,,Engineering and Technology,All,All,Uruguay
2788,2nd National Ideas Competition IMUVI,"The Municipality of León through the Municipal Housing Institute of León (IMUVI) and Municipal Planning Institute of León (IMPLAN) The summon students, teachers and professionals in general to participate in the Second National Ideas Competition: Housing Solution and Intra-urban Park for the development of a conceptual design proposal for a group of high-density social housing and a neighborhood public park in a consolidated urban area in the city of León.",,9/30/2019,http://competitions.archi/wp-content/uploads/2019/07/mexico-architecture-competition-320x175.jpg,http://competitions.archi/competition/2nd-national-ideas-competition-imuvi/,Competitions,,Management,All,All,France
2791,Scholars International Conference on Advances in Neurology and Neuropsychiatry,"On behalf of the Scholars Neuropsychiatry Management Committee, the hosting institution of Neuropsychiatry Conference with great pleasure to welcome you to join us at Neuropsychiatry 2019, Radisson Narita, Tokyo, Japan in the month of November 20-21, 2019. While major culprits of the conference are Emerging Challenges and Advances in Neurology and Neuropsychiatry (the Brain Disorders, Stroke, Rehabilitation, Neuroimaging and many more.). Therefore, we are focusing on novel and emerging Technology and their outputs of growing importance in neurology.",,11/21/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d0e01a9df007_shutterstock_270377375.jpg,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F83337%2Fregister,Conferences,,All,All,All,Japan
2793,SZIDF 2019 Gadget Design Award,"Also this year, SIDA, the Shenzhen Industrial Design Profession Association, and Desall.com invite you all to design the official gadget/souvenir for all the attendees of the Shenzhen International Industrial Design Fair 2019. SIDA and Desall invite you all to design the official for all the participants of the 7th edition of the Shenzhen International Industrial Design Fair (SZIDF) taking place on November 03rd-05th 2019. The gadget/souvenir shall be a NON-technological product. The winner will be selected by a jury consisting of high-level representatives of SIDA and Desall. The official award ceremony will be held in Shenzhen on the night of Nov 3rd, 2019. The winner will be given the opportunity to showcase her/his own works at the fair with a free stand and all travel and accommodation expenses covered by the organization, including other services. All projects will be evaluated by a jury consisting of high-level representatives of SIDA and Desall according to several criteria as specified in detail in the brief.",,9/29/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d44448d8d752_SZIDF-2019-Desall_1200x1200.jpg,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F85323%2Fregister,Awards,,All,All,All,Online
2794,Article Writing Contest 2019,"myPAT is an online learning and assessment platform as part of the Edtech startup, Edfora. On the occasion of myPAT’s 4th year, we are excited to launch our Article Writing Contest and invite students pursuing undergraduate and postgraduate courses across India.Articles may be written on one of the following topics:Trends and insights for startups in the Edtech industryStrategies to create brand differentiation in the Edtech spaceHow to optimize technology to improve the learning experience of studentsMarketing strategies to increase revenue in the highly competitive Edtech industryIncreasing both B2B and B2C user base for a mobile app in the learning and assessment spaceRoadmap for an Edtech startup to enter different nations of the worldHow to build a high performing culture of excellence for a startupManaging user feedback and expectations in the age of social media",,8/31/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d41cfee582f4_logo-mypat2.png,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F85206%2Fregister,Competitions,,All,All,All,Online
2795,Temporary Needs,"Chicco invites all creative people to dive into the world of children transportation by car and develop a concept of foldable car seat designed for kids from 3 to 12 years old, easy to put away when not in use.Chicco is looking for a new concept of foldable car seats able to adapt to the kids’ growth from 3 to 12 years old and to meet the various needs of the different people who take care of them on behalf of the parents. In particular, you are invited to investigate aspects related to the product ease of use and to the reduction of the overall volume of the product after use.",,10/17/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d3f0848b114e_Temporary-Needs_1200x1200.jpg,https://bit.ly/TemporaryNeeds,Competitions,,All,All,All,Online
2796,UXHack Learning Hackathon 3: Let's Build for India,"We believe that the best way to learn is through application of thought to real-world problems. Learning Hackathons (LH) will give you the opportunity to do exactly this.Participants will be given a real world problem faced by a large consumer brand, to solve, each week. You will have a week to come up with solutions. Along the way you will also get one-on-one feedback on improvement, plus you can view top solutions from professionals (if opted). In all you will be able to work on 4 challenges, a new one each week, for a month. Ideal for Product Managers, UX Designers or anyone who is looking to make a career in these fields. n this, the 3rd iteration of Learning Hackathons (LH) we are focusing on Global Brands that are Building for India. Our country presents some unique challenges for these brands which already provide great user experiences. However, a deeper understanding of the Indian user and its application to an even better UX, can be the catalyst for Growth for these Global Brands.",,8/12/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/banner/5d3c4fc652782_d2c.png?d=1536x446,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F84876%2Fregister,Competitions,,All,All,All,Online
2798,Cap Innovation Contest,"New product design contest on Desall.com: Giflor and Desall invite you to design an innovative cap for cosmetics, personal care and the food sector, able to offer a new user experience.Giflor is looking for innovative concepts for a new cap to be used in the cosmetic industry, personal care and food sector, able to replace the flip-top cap category widely used in this market. The aim of the contest is to develop a new cap built with no hinge that may stand out from the competition in terms of usability, user experience, and functionality.",,10/30/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d2dedc80151d_SOCIAL-1200x1200_Linkedin-72.png,https://bit.ly/GiflorContest,Competitions,,All,All,All,Online
2800,SITE CLOISTER international architecture ideas competition,"This international one-stage architecture ideas competition invites all architecture students, young architects and young professionals with a degree in architecture studies (≤ 40 years old) to develop and submit compelling ideas for the design of a Site Cloister located near the ‘Aldeia da Mata’ dolmen, in Crato, Portugal.",,10/21/2019,http://competitions.archi/wp-content/uploads/2019/07/site-cloister-320x175.jpg,http://competitions.archi/competition/site-cloister-international-architecture-ideas-competition/,Competitions,,Engineering and Technology,All,All,Portugal
2801,Fashion Pavilion Milan,"The aim of the competition is to design a pop-up pavilion in the emblematic Parco Sempione in Milan that connects fashion, architecture and people. The pavilion should capture the essence of fashion design and celebrate its powerful impact on our society for such a long time. The pavilion should infuse fashion with architecture physically and poetically, creating a structure that is able to host different events and activate the zone.",,11/29/2019,http://competitions.archi/wp-content/uploads/2019/07/fashion-pavilion-milano-320x175.jpg,http://competitions.archi/competition/fashion-pavilion-milan/,Competitions,,Management,All,All,Italy
2802,View point for construction site of Museum of Modern Art in Warsaw,The aim of the competition is to develop a concept for a viewing platform for the Museum of Modern Art in Warsaw and its new headquarters construction site.,,8/12/2019,http://competitions.archi/wp-content/uploads/2019/07/warsaw-architecture-competition-320x175.jpg,http://competitions.archi/competition/view-point-for-construction-site-of-museum-of-modern-art-in-warsaw/,Competitions,,Engineering and Technology,All,All,Poland
2803,Architecture – Space – Sea International Competition in Architecture by the Jacques Rougerie Foundation Space & Sea Generation – Institut de France,"In 2019 we celebrate the 500th anniversary of Leonardo da Vinci’s death. This year also marks Moon landing’s 50th anniversary. Today more than ever, we must find new forms of habitat and mobility, new ways of life that have to be inventive and efficient for the 10 billion people who will be living on earth in 2050, 75% of whom will live near shorelines and will be therefore particularly concerned by the challenges of the sea level rising. Prospective works on living in space has never been so ambitious. We must act to preserve and build the future of humanity in a sustainable way.",,11/8/2019,http://competitions.archi/wp-content/uploads/2019/07/international-architecture-competition-320x175.jpg,http://competitions.archi/competition/architecture-space-sea-international-competition-in-architecture-by-the-jacques-rougerie-foundation-space-sea-generation-institut-de-france/,Competitions,,Engineering and Technology,All,All,France
2804,Extreme Habitat Challenge – Arctic,"Extreme Habitat Challenge 2019 is pleased to invite architects, designers, engineers, student fraternity, and visualizers from around the globe to take part in its second edition of Arctic Habitat Challenge. The Extreme Habitat Challenge (EHC) is one of the world’s most coveted competitions for habitat design. It recognizes exceptional ideas that redefine habitat design through the implementation of innovative ideas, techniques, construction, visual, programmatic and futuristic organizations through architecture as a tool.",,11/28/2019,http://competitions.archi/wp-content/uploads/2019/07/arctic-320x175.jpg,http://competitions.archi/competition/extreme-habitat-challenge-arctic/,Competitions,,Engineering and Technology,All,All,Canada
2805,Woovly Live Project,"Woovly has launched “Woovly Live Project”, a campus engagement program that aims to select, recruit and train a network of students from selected universities/ campuses in India. This program would give students an opportunity to do live projects and gain Industry marketing experience by being part of a startup and its culture. This also gives students a chance to apply their academic learning in a real-world setting.This two-month long program will reward the Selected Interns with exclusive benefits and an opportunity to collaborate with Woovly after successful completion of the program, depending on the performance of the student.",,10/15/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d527166cc7e7_Woovly_HQ_PNG.png,https://www.woovly.com/,Internships,,All,All,All,India
2806,Social Media Marketing,"The Rules and Regulations are as follows:This is a two-month long programme and will end on 2-10-2019.The registered participants will be added to a Whatsapp group.They are required to bring 25 likes to the Facebook page, after which they will be eligible for the Social Media Marketing certificate.Their list should not contain likes from the people who had previously liked the page.A few non-compulsory tasks will also be present, which will help in raising environmental awareness. If completed, these tasks will have a special mention in the certificate.The certificate will be issued immediately after the completion of the tasks.Participants who had registered and completed the first social marketing internship are not allowed to register for this one.",,10/2/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d42d9b6dd951_42982649_2870063939686076_4070373719401299968_n.jpg,https://www.facebook.com/SESDTU/?epa=SEARCH_BOX,Internships,,All,All,All,Online
2807,Digital Marketing Internship,"Social Media Marketing Job Duties:Creates marketing and social media campaigns and strategies, including budget planning, content ideation, and implementation scheduleEnsures brand consistency in marketing and social media messages by working with various company department members, including advertising, product development, and brand managementProvides training and guidance to social media and marketing team members on social media implementation best practices and strategiesCollects customer data and analyses interactions and visits, plus uses this information to create comprehensive reports and improve future marketing strategies and campaignsReports progress to senior marketing managementGrows and expands company social media presence into new social media platforms, plus increases presence on existing platforms including Facebook, LinkedIn, Twitter, and InstagramResearches and monitors the activity of company competitorsCreates and distributes engaging written or graphic content in the form of e-newsletters, web page, and blog content, or social media messages",,8/23/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5d1ef90c6c919_olcademy.png,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F83720%2Fregister,Internships,,All,All,All,Online
2808,Human-Resources Internship,"Selected intern's day-to-day responsibilities include:1. Reviewing resumes, shortlisting candidates, and scheduling interviews with the hiring manager or team leads2. Sending offer letters3. Obtaining signed offer letters4. Providing all required assistance to the team leads5. Managing the HR needs of team leads, interns, and consultants6. Identifying portals where you can publicize for internship opportunities other than Internshala7. End to end HR management",,8/22/2019,https://d8it4huxumps7.cloudfront.net/uploads/images/150x150/5c77930490747_Capture.JPG,https://dare2compete.com/auth/login?returnUrl=%2Fcompetitions%2F81568%2Fregister,Internships,,All,All,All,Online
